Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Continent
Palestine,308.0,0.0,2.0,0.0,62.0,244.0,0.0,60.0,0.4,17329.0,3397.0,Asia
Senegal,299.0,8.0,2.0,0.0,183.0,114.0,1.0,18.0,0.1,0.0,0.0,Africa
Georgia,296.0,24.0,3.0,0.0,68.0,225.0,6.0,74.0,0.8,3271.0,820.0,Asia
Montenegro,283.0,9.0,4.0,1.0,5.0,274.0,7.0,451.0,6.0,2869.0,4568.0,Europe
Vietnam,266.0,1.0,0.0,0.0,169.0,97.0,8.0,3.0,0.0,121821.0,1252.0,Asia
Isle of Man,242.0,0.0,2.0,0.0,141.0,99.0,13.0,2846.0,24.0,2085.0,24520.0,Europe
DRC,241.0,6.0,20.0,0.0,20.0,201.0,0.0,3.0,0.2,0.0,0.0,Africa
Sri Lanka,233.0,16.0,7.0,0.0,61.0,165.0,1.0,11.0,0.3,4525.0,211.0,Asia
Mayotte,217.0,10.0,3.0,0.0,69.0,145.0,3.0,795.0,11.0,1500.0,5498.0,Africa
Kenya,216.0,8.0,9.0,0.0,41.0,166.0,2.0,4.0,0.2,8123.0,151.0,Africa
Venezuela,189.0,0.0,9.0,0.0,110.0,70.0,6.0,7.0,0.3,203108.0,7143.0,South America
Faeroe Islands,184.0,0.0,0.0,0.0,163.0,21.0,0.0,3766.0,0.0,5602.0,114647.0,Europe
Guatemala,167.0,11.0,5.0,0.0,19.0,143.0,3.0,9.0,0.3,1134.0,63.0,North America
Paraguay,159.0,12.0,7.0,1.0,22.0,130.0,1.0,22.0,1.0,3394.0,476.0,South America
Martinique,157.0,0.0,6.0,0.0,50.0,101.0,19.0,418.0,16.0,0.0,0.0,North America
El Salvador,149.0,12.0,6.0,0.0,25.0,118.0,2.0,23.0,0.9,7230.0,1115.0,North America
Guadeloupe,145.0,0.0,8.0,0.0,67.0,70.0,13.0,362.0,20.0,0.0,0.0,North America
Mali,144.0,21.0,13.0,3.0,34.0,97.0,0.0,7.0,0.6,0.0,0.0,Africa
Brunei ,136.0,0.0,1.0,0.0,107.0,28.0,2.0,311.0,2.0,10350.0,23658.0,Asia
Gibraltar,129.0,0.0,0.0,0.0,93.0,36.0,1.0,3829.0,0.0,1649.0,48945.0,Europe
Rwanda,127.0,0.0,0.0,0.0,42.0,85.0,0.0,10.0,0.0,6237.0,482.0,Africa
Cambodia,122.0,0.0,0.0,0.0,91.0,31.0,1.0,7.0,0.0,5768.0,345.0,Asia
Trinidad and Tobago,113.0,0.0,8.0,0.0,17.0,88.0,0.0,81.0,6.0,1152.0,823.0,North America
Madagascar,108.0,2.0,0.0,0.0,23.0,85.0,1.0,4.0,0.0,0.0,0.0,Africa
Monaco,93.0,0.0,1.0,0.0,6.0,86.0,5.0,2370.0,25.0,0.0,0.0,Europe
Aruba,92.0,0.0,0.0,0.0,32.0,60.0,1.0,862.0,0.0,1154.0,10809.0,North America
French Guiana,86.0,0.0,0.0,0.0,51.0,35.0,1.0,288.0,0.0,0.0,0.0,South America
Ethiopia,82.0,8.0,3.0,0.0,14.0,65.0,0.0,0.7,0.03,4557.0,40.0,Africa
Liechtenstein,79.0,0.0,1.0,0.0,55.0,23.0,0.0,2072.0,26.0,900.0,23605.0,Europe
Togo,77.0,0.0,3.0,0.0,32.0,42.0,0.0,9.0,0.4,2806.0,339.0,Africa
Jamaica,73.0,0.0,4.0,0.0,19.0,50.0,0.0,25.0,1.0,1199.0,405.0,North America
Barbados,72.0,0.0,4.0,0.0,13.0,55.0,4.0,251.0,14.0,839.0,2920.0,North America
Myanmar,63.0,1.0,4.0,0.0,2.0,57.0,0.0,1.0,0.07,2443.0,45.0,Asia
Congo,60.0,0.0,5.0,0.0,5.0,50.0,0.0,11.0,0.9,0.0,0.0,Africa
Somalia,60.0,0.0,2.0,0.0,2.0,56.0,2.0,4.0,0.1,0.0,0.0,Africa
Liberia,59.0,0.0,6.0,0.0,4.0,49.0,0.0,12.0,1.0,0.0,0.0,Africa
Bermuda,57.0,0.0,5.0,0.0,30.0,22.0,3.0,915.0,80.0,416.0,6680.0,North America
Gabon,57.0,0.0,1.0,0.0,1.0,55.0,0.0,26.0,0.4,0.0,0.0,Africa
French Polynesia,55.0,0.0,0.0,0.0,0.0,55.0,1.0,196.0,0.0,920.0,3275.0,Australia/Oceania
Cayman Islands,54.0,0.0,1.0,0.0,6.0,47.0,3.0,822.0,15.0,580.0,8825.0,North America
Uganda,54.0,0.0,0.0,0.0,8.0,46.0,0.0,1.0,0.0,5664.0,124.0,Africa
Tanzania,53.0,4.0,3.0,0.0,7.0,43.0,0.0,0.9,0.05,0.0,0.0,Africa
